ts,container,mem_mb,mem_pct,cpu_pct
1776550227,mft-analytics-service,690.2,77.03,0.26
1776550227,mft-config-service,638.6,71.27,2.33
1776550227,mft-gateway-service,622.3,69.45,0.44
1776550227,mft-grafana,59.8,0.25,0.06
1776550227,mft-encryption-service,661.4,73.82,0.44
1776550227,mft-promtail,56.9,0.24,0.52
1776550227,mft-postgres,256.7,1.07,1.14
1776550227,mft-rabbitmq,162.7,0.68,0.46
1776550227,mft-redis,10.7,0.04,0.57
1776550227,mft-prometheus,73.9,0.31,1.32
1776550227,mft-spire-server,33.4,0.14,4.55
1776550227,mft-loki,167.2,0.70,2.29
1776550227,mft-alertmanager,20.7,0.09,0.07
1776550227,mft-vault,133.6,0.56,0.31
1776550227,mft-redpanda,182.5,0.76,0.26
1776550289,mft-api-gateway,14.6,0.06,0.03
1776550289,mft-edi-converter,212.0,23.66,1.01
1776550289,mft-ui-service,9.2,0.04,1.59
1776550289,mft-dmz-proxy-internal,250.5,1.04,0.14
1776550289,mft-ftp-web-ui,8.5,0.04,1.42
1776550289,mft-partner-portal,9.0,0.04,0.00
1776550289,mft-spire-agent,34.9,0.15,0.05
1776550289,mft-notification-service,503.1,56.15,0.42
1776550289,mft-platform-sentinel,674.7,75.31,0.62
1776550289,mft-ai-engine,674.7,75.30,0.32
1776550289,mft-sftp-service,714.1,79.70,1.36
1776550289,mft-license-service,621.2,69.33,0.82
1776550289,mft-ftp-service,664.0,74.11,0.42
1776550289,mft-screening-service,677.4,75.60,3.27
1776550289,mft-forwarder-service,661.8,73.86,1.19
1776550289,mft-as2-service,647.1,2.70,7.55
1776550289,mft-onboarding-api,674.2,75.25,0.52
1776550289,mft-storage-manager,563.7,62.92,0.50
1776550289,mft-keystore-manager,701.3,78.27,0.51
1776550289,mft-ftp-web-service,645.5,72.04,0.48
1776550289,mft-analytics-service,690.3,77.04,0.30
1776550289,mft-config-service,638.6,71.27,0.27
1776550289,mft-gateway-service,622.5,69.47,1.70
1776550289,mft-grafana,59.8,0.25,0.11
1776550289,mft-encryption-service,661.5,73.83,0.37
1776550289,mft-promtail,56.9,0.24,0.38
1776550289,mft-postgres,255.9,1.07,0.67
1776550289,mft-rabbitmq,163.3,0.68,1.05
1776550289,mft-redis,10.7,0.04,0.48
1776550289,mft-prometheus,74.6,0.31,0.54
1776550289,mft-spire-server,33.4,0.14,0.00
1776550289,mft-loki,170.2,0.71,1.15
1776550289,mft-alertmanager,20.7,0.09,0.09
1776550289,mft-vault,140.5,0.59,0.36
1776550289,mft-redpanda,182.5,0.76,0.22
1776550352,mft-api-gateway,14.7,0.06,0.02
1776550352,mft-edi-converter,212.0,23.66,0.25
1776550352,mft-ui-service,9.2,0.04,0.00
1776550352,mft-dmz-proxy-internal,250.7,1.04,0.11
1776550352,mft-ftp-web-ui,8.4,0.04,0.00
1776550352,mft-partner-portal,9.0,0.04,0.00
1776550352,mft-spire-agent,34.9,0.15,0.03
1776550352,mft-notification-service,504.0,56.25,2.79
1776550352,mft-platform-sentinel,674.8,75.32,0.30
1776550352,mft-ai-engine,681.4,76.04,0.51
1776550352,mft-sftp-service,714.7,79.77,0.95
1776550352,mft-license-service,621.3,69.35,1.47
1776550352,mft-ftp-service,664.0,74.11,0.68
1776550352,mft-screening-service,677.4,75.61,0.66
1776550352,mft-forwarder-service,666.9,74.43,0.35
1776550352,mft-as2-service,647.2,2.70,1.60
1776550352,mft-onboarding-api,674.3,75.25,0.70
1776550352,mft-storage-manager,564.0,62.95,0.39
1776550352,mft-keystore-manager,701.4,78.28,1.26
1776550352,mft-ftp-web-service,645.6,72.05,0.88
1776550352,mft-analytics-service,690.3,77.05,2.24
1776550352,mft-config-service,638.7,71.28,0.42
1776550352,mft-gateway-service,622.5,69.47,0.55
1776550352,mft-grafana,59.8,0.25,0.06
1776550352,mft-encryption-service,664.2,74.13,0.47
1776550352,mft-promtail,57.0,0.24,0.27
1776550352,mft-postgres,256.7,1.07,8.38
1776550352,mft-rabbitmq,162.1,0.68,2.06
1776550352,mft-redis,11.2,0.05,0.34
1776550352,mft-prometheus,75.5,0.31,0.66
1776550352,mft-spire-server,33.5,0.14,0.02
1776550352,mft-loki,203.4,0.85,3.50
1776550352,mft-alertmanager,20.7,0.09,0.09
1776550352,mft-vault,140.5,0.59,0.34
1776550352,mft-redpanda,182.5,0.76,0.36
1776550414,mft-api-gateway,14.7,0.06,0.44
1776550414,mft-edi-converter,212.1,23.67,0.06
1776550414,mft-ui-service,9.3,0.04,0.11
1776550414,mft-dmz-proxy-internal,250.9,1.05,0.56
1776550414,mft-ftp-web-ui,8.4,0.04,0.00
1776550414,mft-partner-portal,9.0,0.04,0.00
1776550414,mft-spire-agent,34.9,0.15,0.10
1776550414,mft-notification-service,504.6,56.32,0.30
1776550414,mft-platform-sentinel,674.9,75.32,0.50
1776550414,mft-ai-engine,681.5,76.06,0.35
1776550414,mft-sftp-service,715.5,79.85,4.50
1776550414,mft-license-service,621.4,69.35,0.51
1776550414,mft-ftp-service,665.6,74.28,0.44
1776550414,mft-screening-service,678.9,75.77,3.80
1776550414,mft-forwarder-service,667.6,74.51,3.26
1776550414,mft-as2-service,647.4,2.70,0.44
1776550414,mft-onboarding-api,674.3,75.26,2.16
1776550414,mft-storage-manager,564.7,63.03,6.13
